Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
vadd_1,0.877,0.760,19.392,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
vadd_1,entry_proc_U0,0.003,0.000,0.000,0.000
vadd_1,Block_entry_split_proc_U0,0.003,0.000,0.000,0.000
vadd_1,load_input_U0,0.633,0.000,0.000,0.000
vadd_1,load_input_U0/grp_load_input_Pipeline_mem_rd_fu_86,0.390,0.000,0.000,0.000
vadd_1,load_input_1_U0,0.633,0.000,19.392,0.000
vadd_1,compute_add_U0,0.637,0.000,0.000,0.000
vadd_1,compute_add_U0/grp_compute_add_Pipeline_execute_fu_52,0.630,0.000,0.000,0.000
vadd_1,store_result_U0,0.874,0.760,0.000,0.000
vadd_1,store_result_U0/grp_store_result_Pipeline_mem_wr_fu_77,0.630,0.000,0.000,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
vadd_1,m_axi_gmem0,0.000,0.000,0.000,0.000
vadd_1,m_axi_gmem1,0.000,0.000,0.000,0.000

